"caseid","age_a","marstat","reldlife","religion","samesex","intvwyear","lifprtnr","timesmar","attnd14","fmarit","gayadopt","lifeprt","sxok18","staytog","prvntdiv","achieve"
77221,36,4,2,3,2,2015,8,1,NA,3,NA,NA,NA,NA,NA,NA
77222,26,1,1,3,3,2017,5,1,NA,1,NA,NA,NA,NA,NA,NA
77223,49,1,2,3,1,2016,9,2,NA,1,NA,NA,NA,NA,NA,NA
77224,28,6,2,2,2,2017,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77225,34,2,1,3,4,2017,2,1,NA,3,NA,NA,NA,NA,NA,NA
77226,38,6,1,3,2,2015,5,NA,NA,5,NA,NA,NA,NA,NA,NA
77227,25,6,3,3,1,2017,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77228,25,6,2,3,4,2016,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77229,28,6,NA,1,1,2017,50,NA,NA,5,NA,NA,NA,NA,NA,NA
77230,22,6,1,3,3,2017,11,NA,3,5,NA,NA,NA,NA,NA,NA
77231,42,1,NA,1,1,2017,50,2,NA,1,NA,NA,NA,NA,NA,NA
77232,32,2,1,3,1,2015,5,1,NA,4,NA,NA,NA,NA,NA,NA
77233,32,6,2,3,2,2015,35,NA,NA,5,NA,NA,NA,NA,NA,NA
77234,35,1,2,2,1,2016,3,1,NA,1,NA,NA,NA,NA,NA,NA
77235,30,1,NA,1,2,2016,6,1,NA,1,NA,NA,NA,NA,NA,NA
77238,47,1,1,4,2,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
77241,27,2,2,3,3,2017,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77244,23,6,NA,1,1,2017,8,NA,3,5,NA,NA,NA,NA,NA,NA
77245,20,1,1,4,4,2017,4,1,2,1,NA,NA,NA,NA,NA,NA
77246,49,1,2,3,2,2016,4,4,NA,1,NA,NA,NA,NA,NA,NA
77247,17,6,1,3,2,2016,0,NA,1,5,NA,NA,NA,NA,NA,NA
77249,26,1,2,2,1,2017,2,1,NA,1,NA,NA,NA,NA,NA,NA
77251,20,6,3,2,1,2017,10,NA,7,5,NA,NA,NA,NA,NA,NA
77253,38,6,1,2,3,2015,4,NA,NA,5,NA,NA,NA,NA,NA,NA
77254,37,1,1,3,3,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77256,48,4,NA,1,2,2017,6,1,NA,3,NA,NA,NA,NA,NA,NA
77257,26,1,2,3,1,2015,3,1,NA,1,NA,NA,NA,NA,NA,NA
77260,36,1,2,4,2,2017,2,2,NA,1,NA,NA,NA,NA,NA,NA
77262,20,2,NA,1,1,2016,5,NA,7,5,NA,NA,NA,NA,NA,NA
77264,44,1,2,3,3,2017,4,1,NA,1,NA,NA,NA,NA,NA,NA
77265,36,6,NA,1,3,2017,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77267,42,4,1,3,2,2016,50,1,NA,3,NA,NA,NA,NA,NA,NA
77268,33,1,1,3,2,2016,8,1,NA,1,NA,NA,NA,NA,NA,NA
77270,33,2,NA,1,2,2017,15,NA,NA,5,NA,NA,NA,NA,NA,NA
77272,48,3,2,3,2,2015,2,1,NA,2,NA,NA,NA,NA,NA,NA
77273,23,6,2,3,2,2017,1,NA,3,5,NA,NA,NA,NA,NA,NA
77275,15,6,2,2,3,2016,0,NA,3,5,NA,NA,NA,NA,NA,NA
77280,40,1,2,3,2,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77284,34,1,1,4,4,2016,13,1,NA,1,NA,NA,NA,NA,NA,NA
77287,40,1,2,3,2,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77289,47,1,1,2,2,2017,13,1,NA,1,NA,NA,NA,NA,NA,NA
77291,26,1,1,3,3,2016,2,1,NA,1,NA,NA,NA,NA,NA,NA
77292,41,4,NA,1,1,2016,10,2,NA,3,NA,NA,NA,NA,NA,NA
77294,16,6,2,2,1,2016,0,NA,4,5,NA,NA,NA,NA,NA,NA
77295,16,6,NA,1,1,2016,0,NA,4,5,NA,NA,NA,NA,NA,NA
77297,22,6,NA,1,1,2017,8,NA,7,5,NA,NA,NA,NA,NA,NA
77299,27,1,NA,1,2,2017,4,1,NA,1,NA,NA,NA,NA,NA,NA
77301,31,1,1,2,1,2016,2,1,NA,1,NA,NA,NA,NA,NA,NA
77302,23,6,1,3,2,2016,2,NA,1,5,NA,NA,NA,NA,NA,NA
77303,25,1,NA,1,1,2017,5,1,NA,1,NA,NA,NA,NA,NA,NA
77304,24,6,1,3,3,2016,3,NA,5,5,NA,NA,NA,NA,NA,NA
77309,30,5,1,3,2,2015,8,1,NA,4,NA,NA,NA,NA,NA,NA
77310,16,6,3,2,2,2017,5,NA,3,5,NA,NA,NA,NA,NA,NA
77311,42,6,NA,1,5,2016,7,NA,NA,5,NA,NA,NA,NA,NA,NA
77314,29,1,1,3,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77315,24,2,NA,1,2,2016,9,NA,7,5,NA,NA,NA,NA,NA,NA
77316,46,5,2,3,1,2016,9,1,NA,4,NA,NA,NA,NA,NA,NA
77318,18,6,1,3,4,2017,1,NA,2,5,NA,NA,NA,NA,NA,NA
77319,43,1,2,2,5,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
77322,47,1,2,3,1,2015,1,1,NA,1,NA,NA,NA,NA,NA,NA
77323,43,4,1,3,3,2016,20,1,NA,3,NA,NA,NA,NA,NA,NA
77325,37,6,2,2,2,2016,0,NA,NA,5,NA,NA,NA,NA,NA,NA
77326,28,1,2,3,3,2017,8,1,NA,1,NA,NA,NA,NA,NA,NA
77328,48,1,2,2,1,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77331,30,2,1,2,4,2016,10,NA,NA,5,NA,NA,NA,NA,NA,NA
77334,42,4,1,4,1,2016,15,2,NA,3,NA,NA,NA,NA,NA,NA
77335,23,1,1,4,4,2017,1,1,1,1,NA,NA,NA,NA,NA,NA
77336,21,6,1,2,2,2017,2,NA,3,5,NA,NA,NA,NA,NA,NA
77337,30,1,1,2,2,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77339,23,6,1,3,2,2017,4,NA,2,5,NA,NA,NA,NA,NA,NA
77341,19,6,NA,1,1,2017,23,NA,6,5,NA,NA,NA,NA,NA,NA
77342,35,1,NA,1,1,2016,11,1,NA,1,NA,NA,NA,NA,NA,NA
77343,48,4,1,3,3,2017,5,1,NA,3,NA,NA,NA,NA,NA,NA
77345,46,4,NA,1,1,2016,6,1,NA,3,NA,NA,NA,NA,NA,NA
77346,15,6,1,3,2,2016,0,NA,4,5,NA,NA,NA,NA,NA,NA
77347,45,4,NA,1,2,2016,16,1,NA,3,NA,NA,NA,NA,NA,NA
77348,35,1,1,2,3,2015,1,1,NA,1,NA,NA,NA,NA,NA,NA
77352,27,1,NA,1,1,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77355,23,6,NA,1,1,2017,9,NA,6,5,NA,NA,NA,NA,NA,NA
77356,25,6,1,2,2,2016,5,NA,NA,5,NA,NA,NA,NA,NA,NA
77357,15,6,2,2,1,2017,0,NA,2,5,NA,NA,NA,NA,NA,NA
77358,34,6,1,3,3,2015,22,NA,NA,5,NA,NA,NA,NA,NA,NA
77361,48,3,1,2,2,2015,5,1,NA,2,NA,NA,NA,NA,NA,NA
77366,40,1,1,2,2,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77368,37,1,1,3,4,2015,2,1,NA,1,NA,NA,NA,NA,NA,NA
77369,21,1,2,3,4,2016,5,1,2,1,NA,NA,NA,NA,NA,NA
77374,24,6,NA,1,3,2017,10,NA,1,5,NA,NA,NA,NA,NA,NA
77378,24,2,NA,1,2,2015,4,NA,7,5,NA,NA,NA,NA,NA,NA
77379,44,1,1,3,2,2017,11,1,NA,1,NA,NA,NA,NA,NA,NA
77381,28,1,1,4,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77384,20,2,3,3,1,2017,9,NA,4,5,NA,NA,NA,NA,NA,NA
77385,30,2,2,3,3,2016,3,NA,NA,5,NA,NA,NA,NA,NA,NA
77386,43,6,NA,1,1,2016,5,NA,NA,5,NA,NA,NA,NA,NA,NA
77388,40,1,2,4,1,2017,7,2,NA,1,NA,NA,NA,NA,NA,NA
77389,39,1,2,3,2,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77390,41,4,1,3,4,2016,22,1,NA,3,NA,NA,NA,NA,NA,NA
77391,17,6,NA,1,1,2015,0,NA,7,5,NA,NA,NA,NA,NA,NA
77392,46,1,1,3,2,2017,2,1,NA,1,NA,NA,NA,NA,NA,NA
77395,48,4,2,3,8,2016,4,2,NA,3,NA,NA,NA,NA,NA,NA
77399,42,1,1,3,5,2016,3,1,NA,1,NA,NA,NA,NA,NA,NA
77401,19,6,1,3,1,2017,0,NA,2,5,NA,NA,NA,NA,NA,NA
77403,18,6,2,2,1,2015,1,NA,2,5,NA,NA,NA,NA,NA,NA
77404,16,6,2,2,1,2016,8,NA,2,5,NA,NA,NA,NA,NA,NA
77405,27,1,1,3,3,2016,3,1,NA,1,NA,NA,NA,NA,NA,NA
77407,22,2,NA,1,1,2016,3,NA,7,5,NA,NA,NA,NA,NA,NA
77408,24,6,1,3,3,2015,3,NA,1,5,NA,NA,NA,NA,NA,NA
77413,32,6,2,2,2,2016,4,NA,NA,5,NA,NA,NA,NA,NA,NA
77415,17,6,1,3,1,2015,3,NA,3,5,NA,NA,NA,NA,NA,NA
