"caseid","age_a","marstat","reldlife","religion","samesex","intvwyear","lifprtnr","timesmar","attnd14","fmarit","gayadopt","lifeprt","sxok18","staytog","prvntdiv","achieve"
80717,31,2,NA,1,1,2018,15,NA,NA,5,NA,NA,NA,NA,NA,NA
80721,17,6,2,3,2,2018,1,NA,6,5,NA,NA,NA,NA,NA,NA
80722,16,6,NA,1,2,2019,2,NA,2,5,NA,NA,NA,NA,NA,NA
80724,49,4,2,4,3,2019,50,2,NA,3,NA,NA,NA,NA,NA,NA
80732,39,6,NA,1,1,2019,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80734,37,1,2,2,2,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80735,17,6,1,3,4,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
80736,40,2,NA,1,1,2019,22,NA,NA,5,NA,NA,NA,NA,NA,NA
80738,46,4,2,3,2,2018,30,1,NA,3,NA,NA,NA,NA,NA,NA
80739,40,1,NA,1,1,2019,5,1,NA,1,NA,NA,NA,NA,NA,NA
80740,31,6,NA,1,1,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80741,34,6,2,4,1,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
80745,32,1,1,3,2,2019,4,1,NA,1,NA,NA,NA,NA,NA,NA
80746,17,6,NA,1,1,2019,6,NA,6,5,NA,NA,NA,NA,NA,NA
80748,21,2,1,3,2,2018,1,NA,1,5,NA,NA,NA,NA,NA,NA
80749,17,6,2,2,2,2019,0,NA,1,5,NA,NA,NA,NA,NA,NA
80751,25,2,3,2,2,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
80753,22,6,3,3,2,2019,4,NA,6,5,NA,NA,NA,NA,NA,NA
80757,28,6,NA,1,4,2019,6,NA,NA,5,NA,NA,NA,NA,NA,NA
80758,18,2,NA,1,3,2018,10,NA,3,5,NA,NA,NA,NA,NA,NA
80759,40,2,NA,1,3,2018,26,NA,NA,5,NA,NA,NA,NA,NA,NA
80762,45,1,NA,1,5,2019,50,2,NA,1,NA,NA,NA,NA,NA,NA
80765,34,6,2,3,2,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80767,31,6,NA,1,1,2017,12,NA,NA,5,NA,NA,NA,NA,NA,NA
80769,39,1,2,3,3,2018,39,2,NA,1,NA,NA,NA,NA,NA,NA
80770,48,1,1,4,4,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80771,16,6,NA,1,2,2019,1,NA,7,5,NA,NA,NA,NA,NA,NA
80774,26,6,NA,1,2,2019,5,NA,NA,5,NA,NA,NA,NA,NA,NA
80775,26,1,3,4,2,2019,11,1,NA,1,NA,NA,NA,NA,NA,NA
80777,29,1,1,3,4,2018,13,1,NA,1,NA,NA,NA,NA,NA,NA
80780,36,2,NA,1,1,2018,9,1,NA,3,NA,NA,NA,NA,NA,NA
80781,26,2,NA,1,3,2018,50,NA,NA,5,NA,NA,NA,NA,NA,NA
80782,33,6,NA,1,1,2018,9,NA,NA,5,NA,NA,NA,NA,NA,NA
80783,15,6,2,3,2,2018,0,NA,4,5,NA,NA,NA,NA,NA,NA
80784,20,6,2,4,1,2019,3,NA,2,5,NA,NA,NA,NA,NA,NA
80786,15,6,2,3,1,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
80789,18,6,2,3,1,2019,2,NA,5,5,NA,NA,NA,NA,NA,NA
80793,26,6,1,3,4,2019,2,NA,NA,5,NA,NA,NA,NA,NA,NA
80794,35,1,NA,1,1,2018,2,1,NA,1,NA,NA,NA,NA,NA,NA
80798,46,2,NA,1,1,2017,9,NA,NA,5,NA,NA,NA,NA,NA,NA
80799,28,6,1,3,1,2018,7,NA,NA,5,NA,NA,NA,NA,NA,NA
80801,17,6,1,3,4,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
80803,24,6,2,4,2,2018,6,NA,7,5,NA,NA,NA,NA,NA,NA
80809,23,6,NA,1,1,2019,4,NA,6,5,NA,NA,NA,NA,NA,NA
80810,35,1,2,2,3,2018,11,1,NA,1,NA,NA,NA,NA,NA,NA
80811,26,6,1,3,1,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
80813,28,6,2,3,2,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80814,22,6,NA,1,1,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
80815,19,6,2,2,2,2018,4,NA,3,5,NA,NA,NA,NA,NA,NA
80817,25,6,1,3,3,2017,6,NA,NA,5,NA,NA,NA,NA,NA,NA
80820,25,6,3,3,2,2019,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80822,18,6,1,3,4,2017,2,NA,2,5,NA,NA,NA,NA,NA,NA
80824,18,6,2,3,2,2019,1,NA,2,5,NA,NA,NA,NA,NA,NA
80825,27,1,NA,1,1,2019,7,1,NA,1,NA,NA,NA,NA,NA,NA
80835,26,6,NA,1,2,2018,5,NA,NA,5,NA,NA,NA,NA,NA,NA
80837,42,1,2,4,3,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80839,18,6,2,4,1,2017,3,NA,3,5,NA,NA,NA,NA,NA,NA
80840,23,1,1,4,4,2017,3,1,1,1,NA,NA,NA,NA,NA,NA
80841,31,6,NA,1,2,2018,16,NA,NA,5,NA,NA,NA,NA,NA,NA
80844,18,6,NA,1,1,2018,8,NA,7,5,NA,NA,NA,NA,NA,NA
80845,38,1,2,2,4,2017,7,1,NA,1,NA,NA,NA,NA,NA,NA
80846,15,6,NA,1,1,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
80850,33,1,NA,1,2,2018,20,2,NA,1,NA,NA,NA,NA,NA,NA
80851,40,6,2,4,2,2018,20,NA,NA,5,NA,NA,NA,NA,NA,NA
80852,32,1,1,2,2,2018,5,1,NA,1,NA,NA,NA,NA,NA,NA
80853,31,6,1,2,4,2018,2,NA,NA,5,NA,NA,NA,NA,NA,NA
80855,32,6,2,2,2,2018,12,NA,NA,5,NA,NA,NA,NA,NA,NA
80856,37,1,NA,1,1,2019,6,1,NA,1,NA,NA,NA,NA,NA,NA
80859,37,1,2,4,1,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
80860,30,6,NA,1,1,2018,5,NA,NA,5,NA,NA,NA,NA,NA,NA
80861,16,6,NA,1,2,2017,5,NA,3,5,NA,NA,NA,NA,NA,NA
80862,17,6,3,3,1,2018,1,NA,7,5,NA,NA,NA,NA,NA,NA
80865,49,4,2,3,3,2018,4,2,NA,3,NA,NA,NA,NA,NA,NA
80867,44,1,NA,1,2,2018,6,1,NA,1,NA,NA,NA,NA,NA,NA
80868,45,1,1,3,4,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
80869,19,6,1,4,4,2019,13,NA,2,5,NA,NA,NA,NA,NA,NA
80871,34,6,1,3,2,2019,20,NA,NA,5,NA,NA,NA,NA,NA,NA
80874,29,2,NA,1,1,2019,10,NA,NA,5,NA,NA,NA,NA,NA,NA
80875,49,2,2,3,2,2018,25,2,NA,4,NA,NA,NA,NA,NA,NA
80877,17,6,NA,1,3,2019,0,NA,5,5,NA,NA,NA,NA,NA,NA
80879,28,6,NA,1,1,2019,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80882,28,5,2,3,1,2019,5,1,NA,4,NA,NA,NA,NA,NA,NA
80883,27,6,1,3,1,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
80884,25,1,NA,1,1,2019,3,1,NA,1,NA,NA,NA,NA,NA,NA
80887,25,6,2,4,4,2019,8,NA,NA,5,NA,NA,NA,NA,NA,NA
80892,35,4,2,4,1,2018,13,1,NA,3,NA,NA,NA,NA,NA,NA
80893,27,6,NA,1,1,2019,18,NA,NA,5,NA,NA,NA,NA,NA,NA
80895,42,6,3,2,3,2018,15,NA,NA,5,NA,NA,NA,NA,NA,NA
80898,45,2,2,3,4,2017,6,1,NA,2,NA,NA,NA,NA,NA,NA
80899,42,1,NA,1,2,2018,10,1,NA,1,NA,NA,NA,NA,NA,NA
80904,19,6,NA,1,2,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
80906,32,6,1,3,4,2019,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80913,15,6,2,3,4,2017,0,NA,7,5,NA,NA,NA,NA,NA,NA
80914,21,6,1,3,1,2019,5,NA,2,5,NA,NA,NA,NA,NA,NA
80921,42,1,1,3,3,2019,6,1,NA,1,NA,NA,NA,NA,NA,NA
80922,40,6,NA,1,2,2017,30,NA,NA,5,NA,NA,NA,NA,NA,NA
80925,35,1,1,3,4,2019,21,1,NA,1,NA,NA,NA,NA,NA,NA
80932,32,1,1,3,2,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
80934,15,6,1,3,2,2018,1,NA,2,5,NA,NA,NA,NA,NA,NA
80935,23,6,2,3,2,2019,10,NA,1,5,NA,NA,NA,NA,NA,NA
80936,40,1,1,3,4,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
80937,32,1,1,3,3,2019,2,1,NA,1,NA,NA,NA,NA,NA,NA
80940,45,4,NA,1,1,2018,9,1,NA,3,NA,NA,NA,NA,NA,NA
80941,24,6,2,2,1,2018,3,NA,2,5,NA,NA,NA,NA,NA,NA
80946,16,6,1,2,3,2018,3,NA,2,5,NA,NA,NA,NA,NA,NA
80948,17,6,2,3,4,2018,0,NA,6,5,NA,NA,NA,NA,NA,NA
80950,16,6,NA,1,2,2019,6,NA,7,5,NA,NA,NA,NA,NA,NA
80953,46,1,1,3,3,2018,4,1,NA,1,NA,NA,NA,NA,NA,NA
80954,31,6,NA,1,2,2018,11,NA,NA,5,NA,NA,NA,NA,NA,NA
80955,35,2,3,2,1,2017,15,NA,NA,5,NA,NA,NA,NA,NA,NA
80956,27,1,2,3,2,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
80957,28,2,3,2,1,2019,6,NA,NA,5,NA,NA,NA,NA,NA,NA
80959,17,2,3,4,2,2019,10,NA,3,5,NA,NA,NA,NA,NA,NA
80962,46,6,3,4,1,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
80965,15,6,2,2,5,2019,1,NA,7,5,NA,NA,NA,NA,NA,NA
80967,32,1,NA,1,1,2019,4,1,NA,1,NA,NA,NA,NA,NA,NA
80971,22,6,NA,1,2,2019,3,NA,2,5,NA,NA,NA,NA,NA,NA
80972,27,6,NA,1,1,2018,6,NA,NA,5,NA,NA,NA,NA,NA,NA
80974,39,1,NA,1,1,2019,20,1,NA,1,NA,NA,NA,NA,NA,NA
80975,25,6,2,2,1,2018,3,NA,NA,5,NA,NA,NA,NA,NA,NA
80976,28,6,1,4,4,2017,5,NA,NA,5,NA,NA,NA,NA,NA,NA
80977,20,6,NA,1,2,2018,3,NA,2,5,NA,NA,NA,NA,NA,NA
80978,26,1,1,3,2,2018,1,1,NA,1,NA,NA,NA,NA,NA,NA
80982,15,6,1,3,3,2018,0,NA,3,5,NA,NA,NA,NA,NA,NA
80985,37,1,2,3,3,2018,15,1,NA,1,NA,NA,NA,NA,NA,NA
80987,36,1,NA,1,1,2018,7,1,NA,1,NA,NA,NA,NA,NA,NA
80988,27,1,1,3,3,2019,2,1,NA,1,NA,NA,NA,NA,NA,NA
80991,39,1,NA,1,1,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
80992,17,6,NA,1,2,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
80993,46,1,2,2,3,2019,10,1,NA,1,NA,NA,NA,NA,NA,NA
80994,15,6,1,3,4,2018,1,NA,2,5,NA,NA,NA,NA,NA,NA
80995,44,1,NA,1,2,2018,5,1,NA,1,NA,NA,NA,NA,NA,NA
80996,31,1,NA,1,2,2019,13,1,NA,1,NA,NA,NA,NA,NA,NA
81000,15,6,NA,1,2,2019,1,NA,7,5,NA,NA,NA,NA,NA,NA
81003,32,6,NA,1,1,2019,30,NA,NA,5,NA,NA,NA,NA,NA,NA
81010,16,6,NA,1,1,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
81012,35,2,2,2,4,2018,5,NA,NA,5,NA,NA,NA,NA,NA,NA
81013,27,6,3,4,1,2018,13,NA,NA,5,NA,NA,NA,NA,NA,NA
81014,32,2,1,3,3,2017,9,1,NA,3,NA,NA,NA,NA,NA,NA
81015,35,1,1,3,4,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
81017,38,6,1,3,2,2018,30,NA,NA,5,NA,NA,NA,NA,NA,NA
81019,48,6,NA,1,1,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81020,44,5,1,4,3,2018,50,1,NA,4,NA,NA,NA,NA,NA,NA
81021,47,6,2,2,1,2017,2,NA,NA,5,NA,NA,NA,NA,NA,NA
81022,37,1,1,2,2,2019,5,1,NA,1,NA,NA,NA,NA,NA,NA
81026,15,6,1,3,4,2018,0,NA,2,5,NA,NA,NA,NA,NA,NA
81027,29,1,2,2,1,2019,7,1,NA,1,NA,NA,NA,NA,NA,NA
81030,23,6,2,4,1,2018,5,NA,7,5,NA,NA,NA,NA,NA,NA
81031,28,6,NA,1,2,2018,11,NA,NA,5,NA,NA,NA,NA,NA,NA
81032,40,2,NA,1,1,2019,50,NA,NA,5,NA,NA,NA,NA,NA,NA
81034,43,5,NA,1,2,2018,7,2,NA,4,NA,NA,NA,NA,NA,NA
81035,28,6,1,4,4,2018,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81039,34,4,NA,1,3,2019,50,1,NA,3,NA,NA,NA,NA,NA,NA
81040,48,1,1,3,1,2018,2,1,NA,1,NA,NA,NA,NA,NA,NA
81042,16,6,2,2,2,2017,1,NA,2,5,NA,NA,NA,NA,NA,NA
81043,32,2,NA,1,2,2018,20,1,NA,3,NA,NA,NA,NA,NA,NA
81047,19,6,3,3,2,2019,4,NA,7,5,NA,NA,NA,NA,NA,NA
81048,20,6,2,2,2,2018,0,NA,7,5,NA,NA,NA,NA,NA,NA
81055,32,6,2,3,1,2019,5,NA,NA,5,NA,NA,NA,NA,NA,NA
81058,32,4,NA,1,2,2018,3,1,NA,3,NA,NA,NA,NA,NA,NA
81059,22,6,NA,1,1,2018,0,NA,5,5,NA,NA,NA,NA,NA,NA
81060,18,6,1,3,2,2019,6,NA,1,5,NA,NA,NA,NA,NA,NA
81065,47,1,2,3,2,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
81068,33,2,NA,1,1,2018,20,NA,NA,5,NA,NA,NA,NA,NA,NA
81072,28,6,1,2,4,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
81073,24,6,1,2,4,2018,10,NA,2,5,NA,NA,NA,NA,NA,NA
81075,28,1,NA,1,1,2017,20,1,NA,1,NA,NA,NA,NA,NA,NA
81076,17,6,NA,1,2,2019,1,NA,6,5,NA,NA,NA,NA,NA,NA
81077,26,6,2,4,2,2019,15,NA,NA,5,NA,NA,NA,NA,NA,NA
81079,35,2,NA,1,2,2019,20,NA,NA,5,NA,NA,NA,NA,NA,NA
81081,35,1,NA,1,1,2019,50,1,NA,1,NA,NA,NA,NA,NA,NA
81083,23,6,2,2,1,2018,1,NA,2,5,NA,NA,NA,NA,NA,NA
81084,43,1,NA,1,1,2019,6,1,NA,1,NA,NA,NA,NA,NA,NA
81086,27,6,2,3,4,2018,6,NA,NA,5,NA,NA,NA,NA,NA,NA
81087,24,6,3,4,1,2019,0,NA,5,5,NA,NA,NA,NA,NA,NA
81091,31,2,2,3,2,2018,2,1,NA,3,NA,NA,NA,NA,NA,NA
81094,23,6,NA,1,1,2018,6,NA,2,5,NA,NA,NA,NA,NA,NA
81096,49,2,3,4,3,2018,30,NA,NA,5,NA,NA,NA,NA,NA,NA
81098,24,6,2,4,1,2018,0,NA,1,5,NA,NA,NA,NA,NA,NA
81106,17,6,NA,1,2,2018,0,NA,7,5,NA,NA,NA,NA,NA,NA
81107,41,1,3,3,1,2018,8,2,NA,1,NA,NA,NA,NA,NA,NA
81109,48,4,1,3,2,2018,50,1,NA,3,NA,NA,NA,NA,NA,NA
81110,17,6,NA,1,2,2018,0,NA,7,5,NA,NA,NA,NA,NA,NA
81111,43,1,1,4,3,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
81112,19,6,NA,1,3,2018,5,NA,2,5,NA,NA,NA,NA,NA,NA
81115,36,6,1,3,3,2019,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81116,24,6,NA,1,1,2018,5,NA,2,5,NA,NA,NA,NA,NA,NA
81120,17,6,3,4,2,2018,1,NA,1,5,NA,NA,NA,NA,NA,NA
81121,37,2,NA,1,1,2017,6,NA,NA,5,NA,NA,NA,NA,NA,NA
81122,47,1,1,3,4,2017,10,1,NA,1,NA,NA,NA,NA,NA,NA
81123,28,6,2,2,3,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81124,19,6,1,3,2,2019,0,NA,1,5,NA,NA,NA,NA,NA,NA
81125,24,6,3,3,2,2019,3,NA,6,5,NA,NA,NA,NA,NA,NA
81127,33,6,2,3,2,2018,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81128,33,6,2,2,2,2018,9,NA,NA,5,NA,NA,NA,NA,NA,NA
81129,35,6,NA,1,3,2019,5,NA,NA,5,NA,NA,NA,NA,NA,NA
81130,20,6,NA,1,2,2019,6,NA,7,5,NA,NA,NA,NA,NA,NA
81133,36,6,2,2,1,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
81135,39,6,NA,1,3,2019,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81136,47,4,2,3,4,2017,50,1,NA,3,NA,NA,NA,NA,NA,NA
81138,36,1,3,3,1,2018,1,1,NA,1,NA,NA,NA,NA,NA,NA
81140,25,6,3,3,2,2018,11,NA,NA,5,NA,NA,NA,NA,NA,NA
81144,25,2,1,2,3,2019,2,NA,3,5,NA,NA,NA,NA,NA,NA
81146,39,1,2,2,2,2019,5,1,NA,1,NA,NA,NA,NA,NA,NA
81148,29,1,1,3,4,2018,10,1,NA,1,NA,NA,NA,NA,NA,NA
81155,32,1,1,3,1,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
81156,46,6,NA,1,2,2017,30,NA,NA,5,NA,NA,NA,NA,NA,NA
81161,27,2,NA,1,1,2018,10,NA,NA,5,NA,NA,NA,NA,NA,NA
81162,41,6,1,3,3,2017,10,NA,NA,5,NA,NA,NA,NA,NA,NA
81165,43,4,1,3,2,2018,6,1,NA,3,NA,NA,NA,NA,NA,NA
81167,38,6,NA,1,1,2019,9,NA,NA,5,NA,NA,NA,NA,NA,NA
81168,36,1,2,4,2,2018,35,2,NA,1,NA,NA,NA,NA,NA,NA
81169,17,6,2,3,2,2019,0,NA,4,5,NA,NA,NA,NA,NA,NA
81170,37,1,2,2,3,2018,6,1,NA,1,NA,NA,NA,NA,NA,NA
81174,34,1,1,2,1,2018,10,1,NA,1,NA,NA,NA,NA,NA,NA
81176,34,6,2,2,2,2018,5,NA,NA,5,NA,NA,NA,NA,NA,NA
81177,48,3,NA,1,1,2019,7,1,NA,2,NA,NA,NA,NA,NA,NA
81181,46,1,NA,1,2,2017,10,1,NA,1,NA,NA,NA,NA,NA,NA
81185,18,6,1,3,3,2018,6,NA,7,5,NA,NA,NA,NA,NA,NA
81186,21,6,NA,1,2,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
81189,15,6,NA,1,2,2019,0,NA,5,5,NA,NA,NA,NA,NA,NA
81190,40,2,2,2,2,2019,50,1,NA,3,NA,NA,NA,NA,NA,NA
81192,19,6,NA,1,2,2018,0,NA,3,5,NA,NA,NA,NA,NA,NA
81196,21,6,NA,1,1,2019,27,NA,7,5,NA,NA,NA,NA,NA,NA
81197,39,6,1,3,4,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81198,43,2,1,3,1,2018,12,1,NA,4,NA,NA,NA,NA,NA,NA
81199,36,1,1,3,4,2017,45,1,NA,1,NA,NA,NA,NA,NA,NA
81202,29,6,2,3,1,2018,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81203,34,2,1,3,4,2019,50,NA,NA,5,NA,NA,NA,NA,NA,NA
81209,36,1,NA,1,1,2019,3,1,NA,1,NA,NA,NA,NA,NA,NA
81210,16,6,NA,1,1,2018,1,NA,7,5,NA,NA,NA,NA,NA,NA
81211,35,1,2,3,2,2019,10,1,NA,1,NA,NA,NA,NA,NA,NA
81212,16,6,NA,1,1,2018,0,NA,7,5,NA,NA,NA,NA,NA,NA
81213,28,6,3,3,2,2019,20,NA,NA,5,NA,NA,NA,NA,NA,NA
81214,27,6,2,2,2,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
81218,16,6,2,3,1,2018,0,NA,1,5,NA,NA,NA,NA,NA,NA
81220,49,1,2,3,4,2018,3,1,NA,1,NA,NA,NA,NA,NA,NA
81221,17,6,1,2,3,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
81222,44,2,1,3,5,2019,27,1,NA,3,NA,NA,NA,NA,NA,NA
81225,27,6,2,2,3,2018,1,NA,NA,5,NA,NA,NA,NA,NA,NA
81229,28,2,NA,1,1,2019,10,NA,NA,5,NA,NA,NA,NA,NA,NA
81230,22,2,1,3,4,2017,25,NA,1,5,NA,NA,NA,NA,NA,NA
81233,15,6,1,3,2,2019,7,NA,3,5,NA,NA,NA,NA,NA,NA
81235,23,6,1,4,3,2018,0,NA,1,5,NA,NA,NA,NA,NA,NA
81236,21,6,1,4,4,2018,0,NA,1,5,NA,NA,NA,NA,NA,NA
81237,23,6,1,2,2,2018,3,NA,1,5,NA,NA,NA,NA,NA,NA
81242,44,1,3,2,2,2019,11,1,NA,1,NA,NA,NA,NA,NA,NA
81243,36,2,3,2,3,2019,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81244,30,1,3,3,1,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
81248,25,6,2,4,1,2018,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81250,19,6,2,3,2,2018,1,NA,6,5,NA,NA,NA,NA,NA,NA
81254,46,6,1,4,3,2019,20,NA,NA,5,NA,NA,NA,NA,NA,NA
81255,18,6,2,2,2,2017,0,NA,4,5,NA,NA,NA,NA,NA,NA
81256,17,6,3,2,4,2018,1,NA,4,5,NA,NA,NA,NA,NA,NA
81257,36,2,NA,1,2,2018,15,NA,NA,5,NA,NA,NA,NA,NA,NA
81259,41,1,NA,1,2,2018,10,1,NA,1,NA,NA,NA,NA,NA,NA
81265,22,6,NA,1,1,2018,9,NA,7,5,NA,NA,NA,NA,NA,NA
81266,21,6,2,3,3,2019,8,NA,3,5,NA,NA,NA,NA,NA,NA
81272,15,6,NA,1,1,2017,0,NA,7,5,NA,NA,NA,NA,NA,NA
81273,33,6,1,3,4,2018,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81275,16,6,2,3,2,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
81277,31,1,1,3,1,2018,50,1,NA,1,NA,NA,NA,NA,NA,NA
81279,20,6,3,2,3,2017,5,NA,7,5,NA,NA,NA,NA,NA,NA
81282,27,6,NA,1,2,2018,20,NA,NA,5,NA,NA,NA,NA,NA,NA
81283,33,2,1,4,2,2019,25,NA,NA,5,NA,NA,NA,NA,NA,NA
81284,16,6,2,3,3,2019,0,NA,1,5,NA,NA,NA,NA,NA,NA
81285,44,1,2,3,4,2018,50,5,NA,1,NA,NA,NA,NA,NA,NA
81288,21,6,3,3,2,2019,3,NA,3,5,NA,NA,NA,NA,NA,NA
81290,19,6,2,2,5,2018,0,NA,3,5,NA,NA,NA,NA,NA,NA
81295,40,1,1,3,2,2019,50,1,NA,1,NA,NA,NA,NA,NA,NA
81296,28,1,1,3,3,2019,5,1,NA,1,NA,NA,NA,NA,NA,NA
81301,36,6,1,3,4,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81303,16,6,NA,1,2,2018,1,NA,7,5,NA,NA,NA,NA,NA,NA
81306,25,6,3,3,1,2018,25,NA,NA,5,NA,NA,NA,NA,NA,NA
81308,33,6,2,3,3,2019,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81311,26,1,1,3,3,2018,7,1,NA,1,NA,NA,NA,NA,NA,NA
81313,25,6,2,3,1,2018,13,NA,NA,5,NA,NA,NA,NA,NA,NA
81314,27,2,3,3,1,2019,9,NA,NA,5,NA,NA,NA,NA,NA,NA
81315,46,1,1,2,2,2018,6,1,NA,1,NA,NA,NA,NA,NA,NA
81318,33,6,1,4,2,2018,2,NA,NA,5,NA,NA,NA,NA,NA,NA
81319,18,6,2,3,2,2019,0,NA,2,5,NA,NA,NA,NA,NA,NA
81320,28,6,2,4,1,2017,25,NA,NA,5,NA,NA,NA,NA,NA,NA
81321,18,6,NA,1,3,2018,4,NA,7,5,NA,NA,NA,NA,NA,NA
81322,31,6,NA,1,1,2019,4,NA,NA,5,NA,NA,NA,NA,NA,NA
81327,27,1,1,3,3,2018,5,1,NA,1,NA,NA,NA,NA,NA,NA
81328,33,5,1,3,3,2018,2,1,NA,4,NA,NA,NA,NA,NA,NA
81331,19,6,2,2,2,2019,0,NA,5,5,NA,NA,NA,NA,NA,NA
81332,19,6,NA,1,2,2018,7,NA,7,5,NA,NA,NA,NA,NA,NA
81333,19,6,NA,1,1,2019,0,NA,7,5,NA,NA,NA,NA,NA,NA
81336,32,6,3,3,1,2019,2,NA,NA,5,NA,NA,NA,NA,NA,NA
81338,26,6,1,2,2,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81339,41,1,1,3,4,2019,10,1,NA,1,NA,NA,NA,NA,NA,NA
81341,21,6,NA,1,1,2018,7,NA,6,5,NA,NA,NA,NA,NA,NA
81342,18,6,NA,1,1,2019,1,NA,5,5,NA,NA,NA,NA,NA,NA
81344,47,1,1,3,2,2018,8,3,NA,1,NA,NA,NA,NA,NA,NA
81345,26,6,2,2,1,2019,0,NA,NA,5,NA,NA,NA,NA,NA,NA
81346,34,6,1,3,3,2019,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81349,31,6,3,2,1,2018,6,NA,NA,5,NA,NA,NA,NA,NA,NA
81352,28,6,NA,1,2,2018,7,NA,NA,5,NA,NA,NA,NA,NA,NA
81353,41,4,NA,1,1,2019,25,1,NA,3,NA,NA,NA,NA,NA,NA
81356,32,2,NA,1,2,2018,44,1,NA,4,NA,NA,NA,NA,NA,NA
81357,39,2,2,3,4,2018,25,1,NA,4,NA,NA,NA,NA,NA,NA
81363,19,6,1,3,1,2018,2,NA,2,5,NA,NA,NA,NA,NA,NA
81366,23,6,NA,1,1,2018,7,NA,6,5,NA,NA,NA,NA,NA,NA
81367,19,6,NA,1,1,2019,1,NA,7,5,NA,NA,NA,NA,NA,NA
81368,40,1,3,3,1,2017,12,1,NA,1,NA,NA,NA,NA,NA,NA
81370,27,6,3,4,2,2019,3,NA,NA,5,NA,NA,NA,NA,NA,NA
81372,45,1,2,3,1,2017,13,1,NA,1,NA,NA,NA,NA,NA,NA
81377,32,1,NA,1,2,2017,48,3,NA,1,NA,NA,NA,NA,NA,NA
81381,33,6,2,3,1,2018,50,NA,NA,5,NA,NA,NA,NA,NA,NA
81382,38,1,NA,1,1,2018,4,1,NA,1,NA,NA,NA,NA,NA,NA
81383,37,1,1,2,2,2019,1,1,NA,1,NA,NA,NA,NA,NA,NA
81384,33,6,2,2,3,2017,1,NA,NA,5,NA,NA,NA,NA,NA,NA
81390,23,2,NA,1,2,2019,5,NA,1,5,NA,NA,NA,NA,NA,NA
81392,22,2,2,3,1,2019,5,NA,7,5,NA,NA,NA,NA,NA,NA
81395,45,6,2,3,3,2018,5,NA,NA,5,NA,NA,NA,NA,NA,NA
81397,36,1,1,3,1,2019,4,1,NA,1,NA,NA,NA,NA,NA,NA
81398,46,1,NA,1,2,2018,15,1,NA,1,NA,NA,NA,NA,NA,NA
